time,hr,hr_norm
1673967600.459,95.0,-0.09523809523809523
1673967601.459,95.0,-0.09523809523809523
1673967602.459,95.0,-0.09523809523809523
1673967603.459,95.0,-0.09523809523809523
1673967604.459,94.0,-0.10476190476190476
1673967605.459,94.0,-0.10476190476190476
1673967606.459,94.0,-0.10476190476190476
1673967607.459,93.0,-0.11428571428571428
1673967608.459,93.0,-0.11428571428571428
1673967609.459,93.0,-0.11428571428571428
1673967610.459,92.0,-0.12380952380952381
1673967611.459,92.0,-0.12380952380952381
1673967612.459,92.0,-0.12380952380952381
1673967613.459,93.0,-0.11428571428571428
1673967614.459,93.0,-0.11428571428571428
1673967615.459,93.0,-0.11428571428571428
1673967616.459,93.0,-0.11428571428571428
1673967617.459,93.0,-0.11428571428571428
1673967618.459,94.0,-0.10476190476190476
1673967619.459,94.0,-0.10476190476190476
1673967620.459,94.0,-0.10476190476190476
1673967621.459,94.0,-0.10476190476190476
1673967622.459,94.0,-0.10476190476190476
1673967623.459,94.0,-0.10476190476190476
1673967624.459,94.0,-0.10476190476190476
1673967625.459,94.0,-0.10476190476190476
1673967626.459,94.0,-0.10476190476190476
1673967627.459,94.0,-0.10476190476190476
1673967628.459,94.0,-0.10476190476190476
1673967629.459,94.0,-0.10476190476190476
1673967630.459,94.0,-0.10476190476190476
1673967631.459,95.0,-0.09523809523809523
1673967632.459,95.0,-0.09523809523809523
1673967633.459,95.0,-0.09523809523809523
1673967634.459,95.0,-0.09523809523809523
1673967635.459,95.0,-0.09523809523809523
1673967636.459,95.0,-0.09523809523809523
1673967637.459,95.0,-0.09523809523809523
1673967638.459,95.0,-0.09523809523809523
1673967639.459,95.0,-0.09523809523809523
1673967640.459,95.0,-0.09523809523809523
1673967641.459,96.0,-0.08571428571428572
1673967642.459,96.0,-0.08571428571428572
1673967643.459,96.0,-0.08571428571428572
1673967644.459,96.0,-0.08571428571428572
1673967645.459,96.0,-0.08571428571428572
1673967646.459,97.0,-0.0761904761904762
1673967647.459,97.0,-0.0761904761904762
1673967648.459,97.0,-0.0761904761904762
1673967649.459,97.0,-0.0761904761904762
