time,tmp
1669021368.0,35.9
1669021468.0,36.0
1669021548.0,36.1
1669021623.0,36.1
1669021678.0,36.2
1669021733.0,36.2
1669021788.0,36.2
1669021848.0,36.2
1669021908.0,36.2
1669021968.0,36.3
1669022028.0,36.3
1669022088.0,36.3
1669022148.0,36.3
1669022208.0,36.3
1669022268.0,36.3
1669022328.0,36.4
1669022388.0,36.3
1669022448.0,36.4
1669022508.0,36.4
1669022568.0,36.4
1669022628.0,36.4
1669022688.0,36.4
1669022748.0,36.4
1669022808.0,36.4
1669022868.0,36.4
1669022928.0,36.4
1669022988.0,36.4
1669023048.0,36.4
1669023108.0,36.4
1669023168.0,36.4
