time,tmp
1669021321.0,23.22
1669021381.0,23.09
1669021441.0,27.59
1669021501.0,29.02
1669021561.0,29.92
1669021621.0,30.52
1669021681.0,30.98
1669021741.0,31.35
1669021801.0,31.59
1669021861.0,31.75
1669021921.0,31.83
1669021981.0,31.91
1669022041.0,31.98
1669022101.0,32.04
1669022161.0,32.09
1669022221.0,32.12
1669022281.0,32.14
1669022341.0,32.16
1669022401.0,32.17
1669022461.0,32.19
1669022521.0,32.21
1669022581.0,32.24
1669022642.0,32.29
1669022702.0,32.33
1669022762.0,32.36
1669022822.0,32.39
1669022882.0,32.42
1669022942.0,32.43
1669023002.0,32.44
1669023062.0,32.45
1669023122.0,32.44
