time,tmp
1669021316.406,23.156
1669021317.43,23.156
1669021318.696,23.156
1669021319.428,23.141
1669021320.5,23.141
1669021321.437,23.125
1669021322.401,23.125
1669021323.429,23.125
1669021324.4,23.125
1669021325.667,23.125
1669021326.495,23.109
1669021327.519,23.109
1669021328.397,23.109
1669021329.42,23.109
1669021330.4,23.094
1669021331.418,23.094
1669021332.686,23.094
1669021333.417,23.094
1669021334.403,23.094
1669021335.416,23.094
1669021336.399,23.094
1669021337.414,23.094
1669021338.429,23.094
1669021339.559,23.094
1669021340.424,23.109
1669021341.473,23.109
1669021342.387,23.109
1669021343.41,23.109
1669021344.385,23.109
1669021345.409,23.109
1669021346.531,23.109
1669021347.508,23.109
1669021348.414,23.109
1669021349.406,23.109
1669021350.381,23.109
1669021351.406,23.109
1669021352.429,23.125
1669021353.598,23.125
1669021354.433,23.125
1669021355.402,23.125
1669021356.426,23.125
1669021357.512,23.125
1669021358.424,23.125
1669021359.406,23.125
1669021360.429,23.125
1669021361.398,23.125
1669021362.434,23.125
1669021363.396,23.125
1669021364.445,23.125
1669021365.395,23.125
1669021366.458,23.125
1669021367.686,23.125
1669021368.417,23.125
1669021369.392,23.125
1669021370.416,23.125
1669021371.391,23.125
1669021372.414,23.125
1669021373.4,23.125
1669021374.413,23.125
1669021375.489,23.125
1669021376.412,23.125
1669021377.387,23.125
1669021378.45,23.125
1669021379.424,23.125
1669021380.409,23.125
1669021381.432,23.125
1669021382.408,23.125
1669021383.581,23.125
1669021384.407,23.125
1669021385.382,23.125
1669021386.407,23.125
1669021387.38,23.125
1669021388.438,23.125
1669021389.528,23.125
1669021390.403,23.125
1669021391.378,23.125
1669021392.402,23.125
1669021393.425,23.125
1669021394.4,23.125
1669021395.473,23.125
1669021396.399,23.141
1669021397.423,23.172
1669021398.398,23.219
1669021399.421,24.766
1669021400.402,25.438
1669021401.42,26.094
1669021402.395,26.656
1669021403.42,27.062
1669021404.395,27.406
1669021405.417,27.703
1669021406.504,27.938
1669021407.416,28.172
1669021408.391,28.375
1669021409.561,28.547
1669021410.395,28.703
1669021411.414,28.875
1669021412.635,29.016
1669021413.412,29.156
1669021414.387,29.281
1669021415.411,29.406
1669021416.58,29.516
1669021417.41,29.625
1669021418.482,29.703
1669021419.449,29.812
1669021420.383,29.906
1669021421.407,29.969
1669021422.383,30.062
1669021423.461,30.125
1669021424.673,30.203
1669021425.599,30.281
1669021426.38,30.344
1669021427.403,30.406
1669021428.412,30.5
1669021429.402,30.531
1669021430.526,30.625
1669021431.402,30.688
1669021432.425,30.75
1669021433.439,30.812
1669021434.423,30.906
1669021435.448,30.953
1669021436.422,31.016
1669021437.397,31.078
1669021438.421,31.141
1669021439.493,31.203
1669021440.42,31.266
1669021441.395,31.328
1669021442.418,31.391
1669021443.394,31.453
1669021444.46,31.531
1669021445.541,31.562
1669021446.416,31.594
1669021447.396,31.656
1669021448.415,31.688
1669021449.391,31.719
1669021450.419,31.766
1669021451.68,31.812
1669021452.412,31.844
1669021453.387,31.906
1669021454.449,31.953
1669021455.393,31.984
1669021456.41,32.031
1669021457.629,32.031
1669021458.408,32.094
1669021459.481,32.125
1669021460.407,32.156
1669021461.382,32.188
1669021462.406,32.25
1669021463.479,32.281
1669021464.405,32.281
1669021465.38,32.312
1669021466.501,32.375
1669021467.386,32.406
1669021468.402,32.406
1669021469.42,32.469
1669021470.401,32.5
1669021471.377,32.5
1669021472.497,32.531
1669021473.424,32.594
1669021474.399,32.625
1669021475.422,32.656
1669021476.398,32.688
1669021477.422,32.719
1669021478.438,32.719
1669021479.42,32.75
1669021480.401,32.781
1669021481.711,32.812
1669021482.394,32.844
1669021483.419,32.875
1669021484.685,32.906
1669021485.416,32.938
1669021486.391,32.938
1669021487.661,32.969
1669021488.416,32.969
1669021489.465,32.969
1669021490.477,32.969
1669021491.462,32.969
1669021492.389,33.0
1669021493.704,33.0
1669021494.388,33.031
1669021495.41,33.031
1669021496.437,33.031
1669021497.409,33.031
1669021498.384,33.062
